,AAA,AA,A,BBB,BB,B,CCC
AAA,0.9909976774409759,0.009002322559024126,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.9285744396437244,0.04376396431314313,0.027661596043132484,0.0,0.0,0.0
A,0.0,0.03465206359009142,0.8733311439369238,0.08594248916563785,0.003906439387739277,0.0021678639196077406,0.0
BBB,0.0012078635235682686,0.0,0.09077186708259981,0.8462923171352174,0.05418168423513358,0.00754626802348097,0.0
BB,0.0,0.0,0.002160105364438111,0.13008768815135463,0.7966458449630567,0.05216916386285531,0.018937197658295376
B,0.0,0.0,0.0,0.004734571199348132,0.08278018380245344,0.8830596594139059,0.029425585584292605
CCC,0.0,0.0,0.0,0.0,0.014098871891431252,0.04846756627832484,0.937433561830244
