,AAA,AA,A,BBB,BB,B,CCC
AAA,0.5,0.5,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.6415094339622641,0.22641509433962265,0.1320754716981132,0.0,0.0,0.0
A,0.0,0.08270676691729323,0.7443609022556391,0.15789473684210525,0.007518796992481203,0.007518796992481203,0.0
BBB,0.0026246719160104987,0.0,0.13385826771653545,0.7611548556430446,0.08923884514435695,0.013123359580052493,0.0
BB,0.0,0.0,0.003401360544217687,0.17687074829931973,0.7108843537414966,0.08163265306122448,0.027210884353741496
B,0.0,0.0,0.0,0.017241379310344827,0.1781609195402299,0.7298850574712644,0.07471264367816093
CCC,0.0,0.0,0.0,0.0,0.08333333333333333,0.4444444444444444,0.4722222222222222
